Code ,ICD-10 Diagnosis Description
F50.8,Other eating disorders 
F50.81,Binge eating disorder 
F50.82,Avoidant/restrictive food intake disorder 
F50.89,Other specified eating disorder 
F50.9,"Eating disorder, unspecified "
F51.01,Primary insomnia 
F51.02,Adjustment insomnia 
F51.03,Paradoxical insomnia 
F51.05,Insomnia due to other mental disorder 
F51.09,Other insomnia not due to a substance or known physiological condition 
F51.11,Primary hypersomnia 
F51.12,Insufficient sleep syndrome 
F51.3,Sleepwalking [somnambulism] 
F51.4,Sleep terrors [night terrors] 
F51.5,Nightmare disorder 
F51.8,Other sleep disorders not due to a substance or known physiological condition 
F51.9,"Sleep disorder not due to a substance or known physiological condition, unspecified"
F52.0,Hypoactive sexual desire disorder 
F52.1,Sexual aversion disorder 
F52.21,Male erectile disorder 
F52.22,Female sexual arousal disorder 
F52.31,Female orgasmic disorder 
F52.32,Male orgasmic disorder 
F52.4,Premature ejaculation 
F52.5,Vaginismus not due to a substance or known physiological condition 
F52.6,Dyspareunia not due to a substance or known physiological condition 
F52.8,Other sexual dysfunction not due to a substance or known physiological condition 
F52.9,Unspecified sexual dysfunction not due to a substance or known physiological condition
F53,Puerperal psychosis 
F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F60.0,Paranoid personality disorder 
F60.1,Schizoid personality disorder 
F60.2,Antisocial personality disorder 
F60.3,Borderline personality disorder 
F60.4,Histrionic personality disorder 
F60.5,Obsessive-compulsive personality disorder 
F60.6,Avoidant personality disorder 
F60.7,Dependent personality disorder 
F60.81,Narcissistic personality disorder 
F60.89,Other specific personality disorders 
F60.9,"Personality disorder, unspecified "
F63.0,Pathological gambling 
F63.1,Pyromania 
F63.2,Kleptomania 
F63.3,Trichotillomania 
F63.8,Other impulse disorders 
F63.81,Intermittent explosive disorder 
F63.9,"Impulse disorder, unspecified "
F64.0,Transsexualism 
F64.1,Gender identity disorder in adolescence and adulthood 
F64.2,Gender identity disorder of childhood 
F64.8,Other gender identity disorders 
F64.9,"Gender identity disorder, unspecified "
F65.0,Fetishism 
F65.1,Transvestic fetishism 
F65.2,Exhibitionism 
F65.3,Voyeurism 
F65.4,Pedophilia 
F65.50,"Sadomasochism, unspecified "
F65.51,Sexual masochism 
F65.52,Sexual sadism 
F65.81,Frotteurism 
F65.89,Other paraphilias 
F65.9,"Paraphilia, unspecified "
F66,Other sexual disorders 
F68.10,"Factitious disorder, unspecified "
F68.11,Factitious disorder with predominantly psychological signs and symptoms 
F68.12,Factitious disorder with predominantly physical signs and symptoms 
F68.13,Factitious disorder with combined psychological and physical signs and symptoms 
F68.8,Other specified disorders of adult personality and behavior 
F80.81,Childhood onset fluency disorder 
F80.82,Social pragmatic communication disorder 
F80.89,Other developmental disorders of speech and language 
F84.0,Autistic disorder 
F84.3,Other childhood disintegrative disorder 
F84.5,Asperger's syndrome 
F84.8,Other pervasive developmental disorders 
F84.9,"Pervasive developmental disorder, unspecified "
F88,Other disorders of psychological development 
F89,Unspecified disorder of psychological development 
F90.0,"Attention-deficit hyperactivity disorder, predominantly inattentive type "
F90.1,"Attention-deficit hyperactivity disorder, predominantly hyperactive type "
F90.2,"Attention-deficit hyperactivity disorder, combined type "
F90.8,"Attention-deficit hyperactivity disorder, other type "
F90.9,"Attention-deficit hyperactivity disorder, unspecified type "
F91.0,Conduct disorder confined to family context 
F91.1,"Conduct disorder, childhood-onset type "
F91.2,"Conduct disorder, adolescent-onset type "
F91.3,Oppositional defiant disorder 
F91.8,Other conduct disorders 
F91.9,"Conduct disorder, unspecified "
F93.0,Separation anxiety disorder of childhood 
F93.8,Other childhood emotional disorders 
F93.9,"Childhood emotional disorder, unspecified "
F94.0,Selective mutism 
F94.1,Reactive attachment disorder of childhood 
F94.2,Disinhibited attachment disorder of childhood 
F94.8,Other childhood disorders of social functioning 
F95.0,Transient tic disorder 
F95.1,Chronic motor or vocal tic disorder 
F95.2,Tourette's disorder 
F95.8,Other tic disorders 
F95.9,"Tic disorder, unspecified "
F98.0,Enuresis not due to a substance or known physiological condition 
F98.1,Encopresis not due to a substance or known physiological condition 
F98.21,Rumination disorder of infancy 
F98.29,Other feeding disorders of infancy and early childhood 
F98.3,Pica of infancy and childhood 
F98.4,Stereotyped movement disorders 
F98.5,Adult onset fluency disorder 
F98.8,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F98.9,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
R45.7,"State of emotional shock and stress, unspecified "
